company_id,industry
81149246,Higher Education
10033339,Information Technology & Services
6049228,Accounting
2641066,Electrical & Electronic Manufacturing
96649998,Marketing & Advertising
82684341,Hospital & Health Care
82296828,Information Technology & Services
86746333,Logistics & Supply Chain
718651,Medical Practice
4781041,Mental Health Care
7573454,Information Technology & Services
1434753,Architecture & Planning
90844,Recreational Facilities & Services
91459053,Internet
145145,Staffing & Recruiting
2899710,Research
20338460,Civil Engineering
90633414,Management Consulting
2902815,Management Consulting
371180,Mental Health Care
10563070,Education Management
88684,Electrical & Electronic Manufacturing
14615655,Information Technology & Services
69571610,Cosmetics
3657,Higher Education
62424,Real Estate
18630069,Oil & Energy
1387626,Real Estate
35602,Financial Services
18872958,Non-profit Organization Management
89908682,Consumer Services
2502541,Information Technology & Services
9516195,Retail
298409,Staffing & Recruiting
298409,Staffing & Recruiting
37768,Information Technology & Services
91187899,Real Estate
7032083,Information Technology & Services
33874,Hospital & Health Care
8986045,Oil & Energy
81886402,Hospital & Health Care
34771768,Staffing & Recruiting
3579761,Food & Beverages
6979,International Trade & Development
6979,International Trade & Development
6979,International Trade & Development
6979,International Trade & Development
79378951,Real Estate
26489605,Design
9215353,Mental Health Care
81886402,Hospital & Health Care
81886402,Hospital & Health Care
76323347,Hospital & Health Care
76323347,Hospital & Health Care
76323347,Hospital & Health Care
81886402,Hospital & Health Care
81886402,Hospital & Health Care
76323347,Hospital & Health Care
81886402,Hospital & Health Care
81886402,Hospital & Health Care
3514329,Construction
2999886,Staffing & Recruiting
8288,Defense & Space
2815,Hospitality
81886402,Hospital & Health Care
61677,Staffing & Recruiting
40934666,Staffing & Recruiting
8288,Defense & Space
1485063,Environmental Services
19115854,Hospital & Health Care
1124883,Medical Practice
4316275,"Health, Wellness & Fitness"
27116461,Computer Software
3579761,Food & Beverages
64734122,Consumer Goods
3579761,Food & Beverages
272676,Staffing & Recruiting
3079381,Machinery
10665641,Luxury Goods & Jewelry
2313067,Staffing & Recruiting
777243,Staffing & Recruiting
72332830,Staffing & Recruiting
165957,Law Practice
166612,Entertainment
22681,Non-profit Organization Management
2326570,Management Consulting
82591929,Computer Software
90403412,Consumer Goods
11555975,Non-profit Organization Management
301266,Real Estate
922460,Automotive
11001662,Real Estate
25963,Consumer Services
54945276,Medical Practice
72628508,Electrical & Electronic Manufacturing
61242,Retail
9599126,Hospital & Health Care
260776,Pharmaceuticals
9599126,Hospital & Health Care
1476408,Hospitality
